x,y
-0.002927,0.002807
0.002335,-0.189941
-0.011046,-0.665838
-0.029358,-1.27187
-0.03749,-2.179921
-0.022259,-3.094952
0.000328,-4.01896
0.03236,-4.90147
0.056331,-5.97284
0.083441,-6.808091
0.115742,-7.830438
0.154875,-8.792712
0.204807,-10.145065
0.237758,-10.963964
0.272192,-11.787531
0.314997,-12.695357
0.34267,-13.572217
0.372141,-14.450461
0.404775,-15.3566
0.436988,-16.147186
0.455146,-16.904875
0.471743,-17.874414
0.489245,-18.693642
0.507871,-19.516605
0.531814,-20.440277
0.558622,-21.247814
0.616889,-22.389889
0.63682,-23.158472
0.667416,-23.951275
0.690815,-24.75396
0.718177,-25.744938
0.74057,-26.580273
0.762626,-27.682556
0.809599,-28.916906
0.836685,-29.814672
0.872315,-30.741894
0.937838,-31.955235
1.008171,-33.113834
1.031244,-34.011978
1.052976,-34.942009
1.075209,-36.358311
1.119251,-37.431877
1.157385,-38.393059
1.190258,-39.451229
1.216938,-40.372169
1.258123,-41.767311
1.28526,-42.809513
1.322971,-43.907623
1.3449,-44.966328
1.377039,-46.212124
1.439643,-47.623898
1.515398,-49.196239
1.582801,-50.301773
1.661512,-51.884663
1.680006,-52.157333
1.732617,-52.939342
1.78188,-53.695381
1.836817,-54.567719
1.940352,-55.791111
2.06555,-56.893356
2.264619,-57.886349
3.030437,-59.78252
4.002804,-60.925461
4.8467,-61.543037
6.12768,-62.152554
8.238258,-62.366451
9.278589,-62.285583
10.636524,-62.116566
11.684614,-61.98135
12.83766,-61.849403
14.230999,-61.728065
15.448553,-61.712345
16.484179,-61.710651
17.803942,-61.691853
18.840149,-61.683445
20.023371,-61.683491
21.766897,-61.644661
23.147879,-61.573204
24.350014,-61.535423
25.54302,-61.506863
26.498697,-61.48045
27.552568,-61.443687
28.535009,-61.421501
30.144125,-61.353596
31.190676,-61.321655
32.409481,-61.289932
33.505829,-61.251308
34.494438,-61.233528
35.575584,-61.187279
37.02758,-61.084465
38.060318,-60.988052
39.431416,-60.806198
40.412971,-60.57122
41.484375,-60.215939
42.338085,-59.74823
43.202904,-59.062458
44.054482,-58.057705
44.564747,-56.882797
44.759106,-55.347076
44.73518,-53.775623
44.667236,-52.581753
44.616776,-51.15453
44.594444,-50.146675
44.556808,-49.204372
44.61858,-48.011398
44.705265,-47.060925
44.77433,-46.048756
44.839657,-44.946236
44.89217,-43.974205
44.968826,-42.422558
45.019215,-41.254112
45.064308,-39.975559
45.099319,-38.687092
45.144222,-37.358654
45.172539,-36.380386
45.257439,-34.959526
45.376976,-33.790016
45.498714,-32.809193
45.681118,-31.601871
45.87307,-30.564089
46.052387,-29.479874
46.227535,-28.329575
46.449917,-26.950466
46.731945,-25.53458
46.99995,-24.365168
47.232628,-23.43524
47.465553,-22.51265
47.737282,-21.407059
48.073345,-20.128128
48.405453,-18.926844
48.67337,-18.009937
48.991932,-16.966846
49.369106,-15.788341
49.703419,-14.743348
50.059872,-13.680901
50.385281,-12.689712
50.678768,-11.648549
50.94426,-10.733127
51.240952,-9.751425
51.593113,-8.665834
51.939465,-7.570777
52.343246,-6.317215
52.678562,-5.314942
52.987114,-4.316904
53.419353,-2.895897
53.70829,-1.885399
53.98539,-0.935184
54.425575,0.594757
54.745815,1.738892
55.021458,2.73219
55.60146,4.884602
55.872459,5.90703
56.22562,7.47846
56.294979,8.646461
56.13242,10.17698
55.736855,11.173461
55.056999,12.29691
54.128899,13.279306
52.884785,14.019465
51.676292,14.324786
49.698463,14.334437
48.056793,14.213437
46.540752,14.118225
45.491852,14.083754
44.327431,14.111147
43.064911,14.179572
41.523441,14.345611
40.404964,14.518925
39.371803,14.671435
38.35965,14.813649
37.213242,14.976946
36.213593,15.073902
35.198959,15.14544
33.76873,15.236442
32.80838,15.277592
31.577208,15.324862
30.526823,15.332043
29.46063,15.305297
28.370358,15.259912
27.1861,15.168037
26.230228,15.07527
25.112534,14.922512
24.12995,14.749608
23.040363,14.521344
21.96595,14.273602
20.941406,13.987841
19.870768,13.654759
18.28546,13.293734
17.207029,13.062153
16.053427,12.75965
14.998815,12.488664
13.912424,12.216222
12.828193,11.924874
11.422948,11.542717
10.031208,11.151598
8.833422,10.807114
7.774109,10.503978
6.424755,10.115704
5.190088,9.619194
4.01132,8.998034
3.005785,8.366875
1.96557,7.513752
1.120151,6.619036
0.518785,5.646098
0.046941,4.509829
-0.197382,3.282305
-0.190552,1.902424
-0.133733,1.134947
-0.044511,0.439943
0.038992,-0.273929
0.116147,-0.950514
0.221841,-1.676286
