x,y
0.0,-0.0
-0.005368,0.002074
-0.031868,-0.150113
-0.087965,-0.465862
-0.096479,-0.855049
-0.180162,-1.168665
-0.202733,-1.551441
-0.243061,-1.918175
-0.28479,-2.407385
-0.369587,-2.830918
-0.401915,-3.286036
-0.465403,-3.676964
-0.51667,-4.217487
-0.605632,-4.532342
-0.652445,-5.17664
-0.724743,-5.823295
-0.868194,-6.472282
-0.912012,-7.076992
-0.974982,-8.098827
-0.977968,-8.682845
-0.975187,-9.215687
-1.058943,-10.049873
-1.164273,-10.663064
-1.220235,-11.220541
-1.268833,-11.955015
-1.357996,-12.596775
-1.449277,-13.448193
-1.477627,-14.059711
-1.574075,-14.632098
-1.628363,-15.287816
-1.662609,-15.917802
-1.723201,-16.674004
-1.829114,-17.322887
-1.951774,-17.75326
-2.193527,-17.86042
-2.515454,-17.997499
-2.865396,-18.106546
-3.394135,-18.102623
-4.04975,-18.052521
-4.869139,-17.939308
-5.860042,-17.766254
-6.62439,-17.61834
-7.342775,-17.493357
-8.030117,-17.374996
-8.881138,-17.202274
-9.709936,-17.021683
-10.477112,-16.863007
-11.163862,-16.726017
-11.833952,-16.587982
-12.445798,-16.472136
-13.057572,-16.393822
-13.683406,-16.305964
-14.344017,-16.13975
-15.013254,-15.996488
-15.744023,-15.87719
-16.61084,-15.663013
-17.045235,-15.547146
-17.258987,-15.547311
