x,y
-0.061775,-7e-05
-0.067283,-0.21345
-0.080656,-1.168557
-0.114658,-1.98937
-0.130116,-2.80579
-0.131001,-3.703583
-0.149558,-4.220355
-0.165193,-4.780549
-0.19012,-5.530339
-0.204453,-6.112818
-0.216215,-6.583344
-0.231497,-7.229655
-0.241234,-8.295501
-0.254581,-9.062067
-0.27081,-9.550198
-0.278322,-10.167613
-0.275664,-10.982281
-0.300964,-11.612873
-0.333392,-12.443773
-0.352811,-13.174055
-0.405896,-14.602548
-0.417724,-15.066356
-0.428732,-15.642903
-0.439878,-16.334782
-0.4386,-16.843094
-0.430412,-17.520493
-0.436893,-17.987568
-0.432402,-18.484573
-0.427294,-18.960552
-0.418294,-19.566986
-0.411353,-20.141224
-0.39979,-20.988338
-0.385584,-21.504801
-0.376836,-22.178862
-0.356502,-22.65519
-0.324521,-23.965546
-0.320235,-24.435089
-0.30514,-24.975859
-0.29763,-25.50197
-0.277256,-26.210711
-0.266472,-26.974583
-0.256623,-27.622057
-0.250703,-28.122452
-0.247952,-28.627651
-0.222077,-29.611513
-0.228815,-30.44442
-0.234488,-30.980707
-0.234867,-31.836014
-0.236346,-32.295616
-0.235082,-33.839745
-0.231413,-34.494324
-0.225699,-35.208599
-0.221076,-35.831371
-0.213943,-36.831257
-0.202496,-37.524014
-0.191597,-38.03846
-0.178132,-38.513428
-0.168503,-39.071835
-0.175547,-39.95945
-0.163261,-40.503883
-0.16847,-40.937531
-0.160208,-42.149204
-0.166085,-43.136662
-0.171561,-43.91684
-0.159669,-44.725632
-0.172402,-46.648827
-0.174022,-47.332912
-0.181261,-47.884384
-0.197932,-48.36211
-0.20724,-48.899658
-0.21369,-49.575356
-0.21059,-50.091492
-0.2283,-50.689678
-0.253397,-51.258461
-0.266645,-52.100304
-0.282251,-52.55727
-0.276533,-53.386955
-0.273477,-53.985565
-0.258315,-54.565426
-0.249648,-55.304989
-0.225185,-56.212685
-0.226842,-56.820137
-0.206324,-57.754921
-0.201416,-58.605988
-0.202285,-59.371273
-0.204298,-59.866161
-0.211073,-60.78381
-0.215975,-61.350765
-0.209978,-62.139648
-0.209305,-62.75182
-0.204218,-63.318527
-0.198792,-64.486122
-0.182007,-65.123444
-0.126943,-65.832733
0.112519,-66.735481
0.299202,-67.189865
0.549126,-67.688171
0.917941,-68.271751
1.364707,-68.849121
1.932433,-69.423431
2.457468,-69.832458
2.913297,-70.089783
3.406806,-70.321304
4.531297,-70.61013
5.520302,-70.630547
6.250385,-70.575554
6.894934,-70.534271
7.463748,-70.513817
8.200226,-70.496803
9.280478,-70.542709
9.827275,-70.565765
11.305212,-70.615051
11.769045,-70.637428
12.429514,-70.650795
13.000368,-70.65062
13.793221,-70.666122
14.614023,-70.675163
15.670919,-70.638306
16.210707,-70.646942
16.722317,-70.647293
17.449625,-70.667572
17.952074,-70.657822
